name,date,open,high,low,close,volumn
1DIV,16-Oct-14,12.51,12.54,12.41,12.43,21200
BCHAY,16-Oct-14,18.4,18.58,18.3,18.55,3400
CHINA,16-Oct-14,5.28,5.32,5.25,5.25,102200
EBANK,16-Oct-14,5.99,5.99,5.91,5.91,37800
ECOMM,16-Oct-14,5.95,5.95,5.95,5.95,12500
EFOOD,16-Oct-14,5.64,5.64,5.64,5.64,5000
EICT,16-Oct-14,6.56,6.56,6.54,6.54,12000
ENGY,16-Oct-14,5.2,5.23,5.17,5.19,139900
ENY,16-Oct-14,5.44,5.44,5.44,5.44,100
GLD,16-Oct-14,1.78,1.78,1.77,1.78,597000
GOLD99,16-Oct-14,19.24,19.24,19.2,19.2,500
HK,16-Oct-14,5.08,5.09,5.08,5.09,60000
KG965,16-Oct-14,18.49,18.62,18.35,18.6,16100
TDEX,16-Oct-14,10.43,10.43,10.3,10.32,434500
TGOLDETF,16-Oct-14,3.92,3.92,3.91,3.91,163700
TH100,16-Oct-14,4.65,4.65,4.64,4.64,11400
2S,16-Oct-14,4.9,4.92,4.8,4.8,648900
A,16-Oct-14,5.5,5.5,5.45,5.5,39100
AAV,16-Oct-14,4.46,4.48,4.42,4.42,9131900
ABC,16-Oct-14,3.94,3.98,3.88,3.88,2461700
ABPIF,16-Oct-14,9.1,9.15,9.1,9.1,104700
ACAP,16-Oct-14,16.4,16.4,16.2,16.3,629100
ACD,16-Oct-14,3.64,3.78,3.36,3.36,29274500
ADVANC,16-Oct-14,225,226,224,224,3914400
AEC,16-Oct-14,1.53,1.53,1.45,1.48,9722400
AEONTS,16-Oct-14,110.5,110.5,110,110,13200
AF,16-Oct-14,15.1,15.1,15,15,6000
AFC,16-Oct-14,13.2,13.2,13.2,13.2,500
AGE,16-Oct-14,2.3,2.32,2.28,2.28,1078300
AH,16-Oct-14,15.3,15.4,15.1,15.2,180700
AHC,16-Oct-14,32.25,32.25,31.75,32,96900
AI,16-Oct-14,10.3,10.4,10.1,10.1,1010600
AIE,16-Oct-14,3.92,3.96,3.9,3.9,1419000
AIRA,16-Oct-14,3.3,3.3,3.2,3.24,14109500
AIT,16-Oct-14,37.25,37.75,37,37.25,886300
AJ,16-Oct-14,10.5,10.5,10.3,10.3,481200
AJD,16-Oct-14,14.9,15,10.5,11.1,66342000
AJP,16-Oct-14,15,15.5,14.1,14.1,11571700
AKP,16-Oct-14,3.36,3.36,3.24,3.3,1225300
AKR,16-Oct-14,2.26,2.28,2.16,2.16,43073200
ALUCON,16-Oct-14,188.5,188.5,188,188.5,1400
AMANAH,16-Oct-14,1.11,1.15,1.1,1.1,13475600
AMARIN,16-Oct-14,11.9,11.9,11.4,11.6,44500
AMATA,16-Oct-14,15.5,15.6,15.2,15.2,3775400
AMC,16-Oct-14,2.84,2.92,2.8,2.86,1265600
ANAN,16-Oct-14,3.82,3.9,3.82,3.82,12966300
AOT,16-Oct-14,225,227,219,220,2438000
AP,16-Oct-14,6.85,6.95,6.8,6.8,9110500
APCO,16-Oct-14,28.5,28.75,28,28.25,405100
APCS,16-Oct-14,2.76,2.94,2.72,2.78,7360000
APURE,16-Oct-14,1.83,2.26,1.8,2.08,508166800
AQ,16-Oct-14,0.45,0.46,0.44,0.46,104598600
AQUA,16-Oct-14,1.53,1.59,1.47,1.49,129192900
ARIP,16-Oct-14,1.44,1.47,1.38,1.38,7766800
ARROW,16-Oct-14,8.15,8.15,7.95,7.95,70600
AS,16-Oct-14,5.05,5.1,5,5.05,97100
ASIA,16-Oct-14,93.5,93.75,93.5,93.5,4900
ASIAN,16-Oct-14,2.98,3.02,2.98,3.02,4400
ASIMAR,16-Oct-14,1.99,2.28,1.99,2.02,73318100
ASK,16-Oct-14,19.9,20,19.8,20,568800
ASP,16-Oct-14,3.92,3.92,3.88,3.88,5724300
AUCT,16-Oct-14,15.4,15.5,14.1,14.8,2799200
AYUD,16-Oct-14,43.5,43.75,43.25,43.25,80500
BAFS,16-Oct-14,36.5,36.5,35.75,36,52400
BANPU,16-Oct-14,28.25,28.5,28,28,13033400
BAT-3K,16-Oct-14,76,76,75.5,75.5,800
BAY,16-Oct-14,46.5,47,45.5,45.5,390200
BBL,16-Oct-14,194.5,194.5,192,192,7478700
BCH,16-Oct-14,9.7,10.1,9.7,9.8,2099700
BCP,16-Oct-14,32,32.25,31.75,31.75,2544600
BEAUTY,16-Oct-14,28.75,29,28.25,28.25,1245600
BEC,16-Oct-14,45.25,46,45,45.25,2096400
BECL,16-Oct-14,37.25,37.5,37,37.5,1460700
BFIT,16-Oct-14,7,7,6.9,6.95,39900
BGH,16-Oct-14,18.2,18.3,18,18.1,14327900
BGT,16-Oct-14,1.34,1.34,1.25,1.25,3039800
BH,16-Oct-14,128,128.5,125,125,576300
BIGC,16-Oct-14,222,223,221,221,78000
BJC,16-Oct-14,44.75,45,44.5,44.5,687900
BJCHI,16-Oct-14,38.5,38.5,37.25,37.25,1787500
BKD,16-Oct-14,5.1,5.2,4.76,4.88,14346500
BKI,16-Oct-14,367,372,367,372,1500
BKKCP,16-Oct-14,9.9,9.9,9.9,9.9,200
BLA,16-Oct-14,60.5,60.5,59.25,59.25,1129300
BLAND,16-Oct-14,1.96,1.97,1.93,1.94,192186800
BMCL,16-Oct-14,1.75,1.75,1.7,1.7,195153900
BOL,16-Oct-14,2.42,2.48,2.42,2.46,3943900
BROCK,16-Oct-14,2.14,2.14,2.06,2.08,1467000
BROOK,16-Oct-14,3.42,3.42,3.22,3.22,5056000
BSBM,16-Oct-14,1.47,1.53,1.45,1.46,27256000
BSM,16-Oct-14,1.25,1.36,1.2,1.27,115662300
BTC,16-Oct-14,1.14,1.2,1.03,1.04,411176600
BTNC,16-Oct-14,22.3,22.3,22.3,22.3,300
BTS,16-Oct-14,10,10.3,10,10.1,71796200
BTSGIF,16-Oct-14,10,10.1,9.95,10,1888900
BUI,16-Oct-14,20.4,20.4,19.8,20.1,12000
BWG,16-Oct-14,4.58,4.64,4.38,4.44,18460400
CCET,16-Oct-14,2.98,3.06,2.98,2.98,4049400
CCN,16-Oct-14,3.2,3.26,2.96,3,9003800
CCP,16-Oct-14,6.3,6.35,6.15,6.15,2380300
CEI,16-Oct-14,6.95,6.95,6.65,6.7,280300
CEN,16-Oct-14,3.74,3.84,3.66,3.68,7467500
CENTEL,16-Oct-14,38.5,38.75,37.75,38.25,1149500
CFRESH,16-Oct-14,9.1,9.1,9,9,86500
CGD,16-Oct-14,1.67,1.7,1.55,1.57,132644100
CGS,16-Oct-14,1.61,1.67,1.61,1.62,29519400
CHARAN,16-Oct-14,55,55,55,55,1000
CHG,16-Oct-14,17.6,17.6,17.4,17.4,1689200
CHO,16-Oct-14,4.84,4.88,4.6,4.7,6219800
CHOTI,16-Oct-14,195,195,193,193,500
CHOW,16-Oct-14,7.6,7.65,7.35,7.4,7890900
CHUO,16-Oct-14,13.1,13.1,12.6,13,60600
CI,16-Oct-14,2.7,2.9,2.4,2.48,208037200
CIG,16-Oct-14,1.45,1.46,1.32,1.35,59337000
CIMBT,16-Oct-14,2.16,2.16,2.1,2.12,1093500
